# file, tumour type
1.tiff, 1
2.tiff, 1
3.tiff, 1
4.tiff, 1
5.tiff, 1
6.tiff, 1
7.tiff, 1
8.tiff, 1
9.tiff, 1
10.tiff, 1
11.tiff, 1
12.tiff, 1
13.tiff, 1
14.tiff, 1
15.tiff, 1
16.tiff, 1
17.tiff, 1
18.tiff, 1
19.tiff, 1
20.tiff, 1
21.tiff, 1
22.tiff, 1
23.tiff, 1
24.tiff, 1
25.tiff, 1
26.tiff, 1
27.tiff, 1
28.tiff, 1
29.tiff, 1
30.tiff, 1
31.tiff, 1
32.tiff, 1
33.tiff, 1
34.tiff, 1
35.tiff, 1
36.tiff, 1
37.tiff, 1
38.tiff, 1
39.tiff, 1
40.tiff, 1
41.tiff, 1
42.tiff, 1
43.tiff, 1
44.tiff, 1
45.tiff, 1
46.tiff, 1
47.tiff, 1
48.tiff, 1
49.tiff, 1
50.tiff, 1
51.tiff, 1
52.tiff, 1
53.tiff, 1
54.tiff, 1
55.tiff, 1
56.tiff, 1
57.tiff, 1
58.tiff, 1
59.tiff, 3
60.tiff, 1
61.tiff, 1
62.tiff, 1
63.tiff, 1
64.tiff, 1
65.tiff, 1
66.tiff, 1
67.tiff, 1
68.tiff, 1
69.tiff, 1
70.tiff, 1
71.tiff, 1
72.tiff, 1
73.tiff, 1
74.tiff, 1
75.tiff, 1
76.tiff, 1
77.tiff, 1
78.tiff, 1
79.tiff, 1
80.tiff, 1
81.tiff, 1
82.tiff, 1
83.tiff, 1
84.tiff, 1
85.tiff, 1
86.tiff, 1
87.tiff, 1
88.tiff, 1
89.tiff, 1
90.tiff, 1
91.tiff, 1
92.tiff, 1
93.tiff, 1
94.tiff, 1
95.tiff, 1
96.tiff, 1
97.tiff, 1
98.tiff, 1
99.tiff, 1
100.tiff, 1
101.tiff, 1
102.tiff, 1
103.tiff, 1
104.tiff, 1
105.tiff, 1
106.tiff, 1
107.tiff, 1
108.tiff, 1
109.tiff, 1
110.tiff, 1
111.tiff, 1
112.tiff, 1
113.tiff, 1
114.tiff, 1
115.tiff, 1
116.tiff, 1
117.tiff, 1
118.tiff, 1
119.tiff, 1
120.tiff, 1
121.tiff, 1
122.tiff, 1
123.tiff, 1
124.tiff, 1
125.tiff, 1
126.tiff, 1
127.tiff, 1
128.tiff, 1
129.tiff, 1
130.tiff, 1
131.tiff, 1
132.tiff, 1
133.tiff, 1
134.tiff, 1
135.tiff, 1
136.tiff, 1
137.tiff, 1
138.tiff, 1
139.tiff, 1
140.tiff, 1
141.tiff, 1
142.tiff, 1
143.tiff, 1
144.tiff, 1
145.tiff, 1
146.tiff, 1
147.tiff, 1
148.tiff, 1
149.tiff, 1
150.tiff, 1
151.tiff, 1
152.tiff, 1
153.tiff, 1
154.tiff, 1
155.tiff, 1
156.tiff, 1
157.tiff, 1
158.tiff, 1
159.tiff, 1
160.tiff, 1
161.tiff, 1
162.tiff, 1
163.tiff, 1
164.tiff, 1
165.tiff, 1
166.tiff, 1
167.tiff, 1
168.tiff, 1
169.tiff, 1
170.tiff, 1
171.tiff, 1
172.tiff, 1
173.tiff, 1
174.tiff, 1
175.tiff, 1
176.tiff, 1
177.tiff, 1
178.tiff, 1
179.tiff, 1
180.tiff, 1
181.tiff, 1
182.tiff, 1
183.tiff, 1
184.tiff, 1
185.tiff, 1
186.tiff, 1
187.tiff, 1
188.tiff, 1
189.tiff, 1
190.tiff, 1
191.tiff, 1
192.tiff, 1
193.tiff, 1
194.tiff, 1
195.tiff, 1
196.tiff, 1
197.tiff, 1
198.tiff, 1
199.tiff, 1
200.tiff, 1
201.tiff, 1
202.tiff, 1
203.tiff, 1
204.tiff, 1
205.tiff, 1
206.tiff, 1
207.tiff, 1
208.tiff, 1
209.tiff, 2
210.tiff, 2
211.tiff, 1
212.tiff, 1
213.tiff, 1
214.tiff, 1
215.tiff, 1
216.tiff, 1
217.tiff, 1
218.tiff, 1
219.tiff, 1
220.tiff, 1
221.tiff, 1
222.tiff, 1
223.tiff, 1
224.tiff, 1
225.tiff, 1
226.tiff, 1
227.tiff, 1
228.tiff, 1
229.tiff, 1
230.tiff, 1
231.tiff, 1
232.tiff, 1
233.tiff, 1
234.tiff, 1
235.tiff, 1
236.tiff, 1
237.tiff, 1
238.tiff, 1
239.tiff, 1
